ds,y,unique_id
319,1327.3,gold
320,1346.9,gold
321,1337.3,gold
322,1340.2,gold
323,1328.5,gold
324,1336.1,gold
325,1340.1,gold
326,1345.9,gold
327,1360.0,gold
328,1341.9,gold
329,1347.9,gold
330,1350.7,gold
331,1349.5,gold
332,1353.5,gold
333,1348.8,gold
334,1338.3,gold
335,1324.0,gold
336,1333.0,gold
337,1322.8,gold
338,1317.9,gold
339,1323.4,gold
340,1319.2,gold
341,1306.8,gold
342,1305.6,gold
343,1312.7,gold
344,1314.7,gold
345,1314.1,gold
346,1313.7,gold
347,1313.0,gold
348,1322.3,gold
349,1320.7,gold
350,1318.2,gold
351,1290.3,gold
352,1291.5,gold
353,1289.4,gold
354,1291.3,gold
355,1290.9,gold
356,1292.0,gold
357,1289.6,gold
358,1304.4,gold
359,1303.7,gold
360,1299.0,gold
361,1301.6,gold
362,1306.5,gold
363,1304.7,gold
364,1299.3,gold
365,1297.3,gold
366,1302.2,gold
367,1301.4,gold
368,1303.0,gold
369,1302.7,gold
370,1303.2,gold
371,1299.4,gold
372,1301.3,gold
373,1308.3,gold
374,1278.5,gold
375,1280.1,gold
376,1278.6,gold
377,1274.5,gold
378,1270.5,gold
379,1270.7,gold
380,1268.9,gold
381,1259.9,gold
382,1256.1,gold
383,1251.0,gold
384,1254.5,gold
385,1241.7,gold
386,1253.5,gold
387,1258.8,gold
388,1261.7,gold
389,1255.8,gold
390,1259.6,gold
391,1255.4,gold
392,1244.4,gold
393,1246.6,gold
394,1241.2,gold
395,1239.7,gold
396,1227.3,gold
397,1227.9,gold
398,1224.0,gold
399,1231.1,gold
400,1225.6,gold
401,1225.5,gold
402,1231.8,gold
403,1225.7,gold
404,1232.7,gold
405,1231.5,gold
406,1233.6,gold
407,1227.6,gold
408,1220.1,gold
409,1223.2,gold
410,1217.7,gold
411,1218.3,gold
412,1221.0,gold
413,1219.9,gold
414,1219.0,gold
415,1198.9,gold
416,1200.7,gold
417,1185.0,gold
418,1184.0,gold
419,1184.2,gold
420,1194.6,gold
421,1200.0,gold
422,1203.3,gold
423,1194.0,gold
424,1213.3,gold
425,1216.0,gold
426,1214.4,gold
427,1211.5,gold
428,1205.0,gold
429,1206.7,gold
430,1199.1,gold
431,1196.6,gold
432,1201.3,gold
433,1204.3,gold
434,1200.4,gold
435,1199.8,gold
436,1202.2,gold
437,1210.9,gold
438,1208.2,gold
439,1201.1,gold
440,1205.8,gold
441,1202.9,gold
442,1208.3,gold
443,1211.3,gold
444,1201.3,gold
445,1204.4,gold
446,1205.1,gold
447,1199.1,gold
448,1187.4,gold
449,1196.2,gold
450,1191.7,gold
451,1207.0,gold
452,1202.9,gold
453,1201.6,gold
454,1205.6,gold
455,1188.6,gold
456,1191.5,gold
457,1193.4,gold
458,1227.6,gold
459,1222.0,gold
460,1230.3,gold
461,1231.0,gold
462,1227.4,gold
463,1230.1,gold
464,1228.7,gold
465,1224.6,gold
466,1236.8,gold
467,1231.1,gold
468,1232.4,gold
469,1235.8,gold
470,1227.6,gold
471,1225.3,gold
472,1215.0,gold
473,1238.6,gold
474,1233.3,gold
475,1232.3,gold
476,1226.3,gold
477,1228.7,gold
478,1225.1,gold
479,1208.6,gold
480,1203.5,gold
481,1201.4,gold
482,1210.1,gold
483,1215.0,gold
484,1223.0,gold
485,1225.3,gold
486,1221.2,gold
487,1228.0,gold
488,1223.2,gold
489,1226.6,gold
490,1222.4,gold
491,1213.4,gold
492,1223.6,gold
493,1230.4,gold
494,1226.0,gold
495,1239.6,gold
496,1246.6,gold
497,1242.6,gold
498,1243.6,gold
499,1252.6,gold
500,1249.4,gold
501,1247.2,gold
502,1250.0,gold
503,1247.4,gold
504,1241.4,gold
505,1251.8,gold
506,1253.6,gold
507,1256.4,gold
508,1267.9,gold
509,1258.1,gold
510,1271.8,gold
511,1273.0,gold
512,1281.1,gold
513,1283.0,gold
514,1281.3,gold
515,1284.1,gold
516,1294.8,gold
517,1285.8,gold
518,1289.9,gold
519,1285.9,gold
520,1292.0,gold
521,1287.4,gold
522,1289.5,gold
523,1291.3,gold
524,1288.4,gold
525,1293.8,gold
526,1292.3,gold
527,1282.6,gold
528,1283.4,gold
529,1285.8,gold
530,1284.0,gold
531,1279.8,gold
532,1298.1,gold
