unique_id,ds,cutoff,y,AutoETS
silver,1184,1183,1.4981004,1.5415939
silver,1185,1184,1.2689418,1.5033242
silver,1186,1185,1.0181957,1.2967095
silver,1187,1186,1.0473742,1.0495864
silver,1188,1187,1.0701478,1.0476247
silver,1189,1188,0.9819004,1.0675976
silver,1190,1189,1.1391801,0.99157673
silver,1191,1190,1.1420268,1.1223319
silver,1192,1191,1.1107131,1.1398104
silver,1193,1192,1.054491,1.1140369
silver,1194,1193,1.0089439,1.0612838
silver,1195,1194,0.9809515,1.0148805
silver,1196,1195,1.1100014,0.98480535
silver,1197,1196,1.1664609,1.0957202
silver,1198,1197,1.1382312,1.1584207
silver,1199,1198,1.0848557,1.1405268
silver,1200,1199,1.2177013,1.0911707
silver,1201,1200,1.19303,1.2032696
silver,1202,1201,1.19303,1.194199
silver,1203,1202,1.2440332,1.193163
silver,1204,1203,1.1721542,1.2382406
silver,1205,1204,1.3818605,1.1797054
silver,1206,1205,1.2800913,1.3584467
silver,1207,1206,1.2800913,1.2892085
silver,1208,1207,1.2048912,1.2811595
silver,1209,1208,1.2335954,1.2137971
silver,1210,1209,1.1678842,1.2312857
silver,1211,1210,1.1432129,1.1752957
silver,1212,1211,1.1643258,1.1469584
silver,1213,1212,1.144399,1.1622977
silver,1214,1213,0.9055142,1.1464905
silver,1215,1214,0.7971027,0.9334921
silver,1216,1215,0.76555187,0.81252265
silver,1217,1216,0.86210215,0.7708366
silver,1218,1217,0.93232054,0.85174495
silver,1219,1218,0.8782334,0.9232185
silver,1220,1219,0.81797844,0.88332117
silver,1221,1220,0.8817918,0.82537425
silver,1222,1221,0.82794183,0.8754086
silver,1223,1222,0.59498763,0.83333033
silver,1224,1223,0.72830766,0.62190044
silver,1225,1224,0.84431034,0.716152
silver,1226,1225,0.86993057,0.8296941
silver,1227,1226,0.8613905,0.8653689
silver,1228,1227,0.84336144,0.86184233
silver,1229,1228,0.8732517,0.84546036
silver,1230,1229,0.8844012,0.8700954
silver,1231,1230,0.87491226,0.8827765
silver,1232,1231,0.8390914,0.8758054
silver,1233,1232,0.9947105,0.84326106
silver,1234,1233,1.0675384,0.9774535
silver,1235,1234,1.0371736,1.057395
silver,1236,1235,1.0170096,1.0394582
silver,1237,1236,1.1638514,1.0195513
silver,1238,1237,1.2971714,1.1474925
silver,1239,1238,1.2319348,1.2805307
silver,1240,1239,1.2981203,1.2373818
silver,1241,1240,1.3320434,1.2912834
silver,1242,1241,1.2124823,1.3274733
silver,1243,1242,1.2369164,1.2254642
silver,1244,1243,1.2200736,1.2356229
silver,1245,1244,1.1795082,1.221825
silver,1246,1245,1.2089239,1.1842736
silver,1247,1246,1.074655,1.2061399
silver,1248,1247,1.0091811,1.0895417
silver,1249,1248,1.1704937,1.0181565
silver,1250,1249,1.2288508,1.1532389
silver,1251,1250,1.3201822,1.2203773
silver,1252,1251,1.267044,1.309033
silver,1253,1252,1.3747437,1.2717415
silver,1254,1253,1.5002353,1.3631899
silver,1255,1254,1.5109105,1.4850255
silver,1256,1255,1.4537394,1.5080477
silver,1257,1256,1.4155463,1.4597678
silver,1258,1257,1.4684473,1.4204439
silver,1259,1258,1.4051085,1.4631191
silver,1260,1259,1.3768787,1.4115694
silver,1261,1260,1.2620622,1.3807241
silver,1262,1261,1.0575749,1.2752192
silver,1263,1262,1.0720456,1.0811564
silver,1264,1263,0.98640764,1.0730344
silver,1265,1264,0.98640764,0.99576396
silver,1266,1265,0.9192732,0.9874148
silver,1267,1266,0.9104959,0.92665046
silver,1268,1267,0.79757714,0.91223186
silver,1269,1268,0.792121,0.8098917
silver,1270,1269,0.831263,0.79402816
silver,1271,1270,0.7795481,0.8272637
silver,1272,1271,0.8412264,0.784689
silver,1273,1272,0.819639,0.83513075
silver,1274,1273,0.720242,0.8213136
silver,1275,1274,0.7634169,0.7311282
silver,1276,1275,0.7949677,0.7599323
silver,1277,1276,0.6991291,0.79118663
silver,1278,1277,0.6092211,0.70911545
silver,1279,1278,0.8322119,0.61998725
silver,1280,1279,0.84359866,0.8089721
silver,1281,1280,0.7861904,0.83984244
silver,1282,1281,0.84264976,0.79205
silver,1283,1282,0.9114448,0.8371094
silver,1284,1283,0.94014895,0.9033482
silver,1285,1284,0.9517729,0.93614995
silver,1286,1285,0.9830865,0.95006686
silver,1287,1286,0.92069656,0.97948456
silver,1288,1287,0.96861583,0.9271
silver,1289,1288,1.0378853,0.9640927
