ds,y,unique_id
354,16.455,silver
355,16.52,silver
356,16.575,silver
357,16.405,silver
358,16.687,silver
359,16.546,silver
360,16.373,silver
361,16.373,silver
362,16.544,silver
363,16.458,silver
364,16.441,silver
365,16.431,silver
366,16.543,silver
367,16.694,silver
368,16.815,silver
369,16.741,silver
370,16.952,silver
371,16.891,silver
372,16.991,silver
373,17.262,silver
374,16.48,silver
375,16.44,silver
376,16.323,silver
377,16.309,silver
378,16.326,silver
379,16.459,silver
380,16.328,silver
381,16.25,silver
382,16.151,silver
383,16.041,silver
384,16.198,silver
385,15.835,silver
386,16.043,silver
387,16.097,silver
388,16.097,silver
389,16.069,silver
390,16.139,silver
391,16.087,silver
392,15.817,silver
393,15.977,silver
394,15.815,silver
395,15.812,silver
396,15.617,silver
397,15.574,silver
398,15.402,silver
399,15.549,silver
400,15.425,silver
401,15.52,silver
402,15.589,silver
403,15.495,silver
404,15.493,silver
405,15.537,silver
406,15.559,silver
407,15.452,silver
408,15.385,silver
409,15.462,silver
410,15.348,silver
411,15.373,silver
412,15.432,silver
413,15.462,silver
414,15.295,silver
415,14.982,silver
416,15.053,silver
417,14.454,silver
418,14.713,silver
419,14.631,silver
420,14.67,silver
421,14.766,silver
422,14.75,silver
423,14.542,silver
424,14.794,silver
425,14.859,silver
426,14.774,silver
427,14.697,silver
428,14.594,silver
429,14.557,silver
430,14.18,silver
431,14.145,silver
432,14.22,silver
433,14.181,silver
434,14.17,silver
435,14.181,silver
436,14.153,silver
437,14.293,silver
438,14.244,silver
439,14.142,silver
440,14.223,silver
441,14.185,silver
442,14.28,silver
443,14.305,silver
444,14.359,silver
445,14.341,silver
446,14.493,silver
447,14.401,silver
448,14.29,silver
449,14.712,silver
450,14.507,silver
451,14.693,silver
452,14.67,silver
453,14.59,silver
454,14.649,silver
455,14.329,silver
456,14.4,silver
457,14.326,silver
458,14.606,silver
459,14.635,silver
460,14.727,silver
461,14.701,silver
462,14.663,silver
463,14.604,silver
464,14.65,silver
465,14.587,silver
466,14.793,silver
467,14.676,silver
468,14.63,silver
469,14.7,silver
470,14.442,silver
471,14.462,silver
472,14.282,silver
473,14.777,silver
474,14.756,silver
475,14.647,silver
476,14.5,silver
477,14.569,silver
478,14.423,silver
479,14.14,silver
480,14.011,silver
481,13.977,silver
482,14.08,silver
483,14.263,silver
484,14.382,silver
485,14.403,silver
486,14.269,silver
487,14.502,silver
488,14.243,silver
489,14.287,silver
490,14.205,silver
491,14.084,silver
492,14.325,silver
493,14.402,silver
494,14.217,silver
495,14.499,silver
496,14.64,silver
497,14.582,silver
498,14.509,silver
499,14.696,silver
500,14.605,silver
501,14.628,silver
502,14.851,silver
503,14.855,silver
504,14.637,silver
505,14.759,silver
506,14.701,silver
507,14.818,silver
508,14.869,silver
509,14.702,silver
510,14.82,silver
511,15.123,silver
512,15.31,silver
513,15.436,silver
514,15.54,silver
515,15.649,silver
516,15.797,silver
517,15.786,silver
518,15.756,silver
519,15.713,silver
520,15.735,silver
521,15.643,silver
522,15.656,silver
523,15.686,silver
524,15.62,silver
525,15.638,silver
526,15.536,silver
527,15.399,silver
528,15.325,silver
529,15.325,silver
530,15.38,silver
531,15.3,silver
532,15.699,silver
533,15.765,silver
534,15.839,silver
535,15.927,silver
536,16.072,silver
537,15.931,silver
538,15.886,silver
539,15.836,silver
540,15.701,silver
541,15.713,silver
542,15.809,silver
543,15.74,silver
544,15.69,silver
545,15.652,silver
546,15.528,silver
547,15.743,silver
548,15.967,silver
549,16.013,silver
550,16.177,silver
551,15.801,silver
552,15.914,silver
553,15.83,silver
554,15.832,silver
555,15.766,silver
556,15.634,silver
557,15.256,silver
558,15.105,silver
559,15.105,silver
560,15.085,silver
561,15.04,silver
562,15.349,silver
563,15.274,silver
564,15.413,silver
565,15.456,silver
566,15.171,silver
567,15.324,silver
568,15.322,silver
569,15.372,silver
570,15.318,silver
571,15.437,silver
572,15.407,silver
573,15.567,silver
574,15.429,silver
575,15.298,silver
576,14.973,silver
577,15.11,silver
578,15.099,silver
579,15.061,silver
580,15.102,silver
581,15.084,silver
582,15.086,silver
583,15.216,silver
584,15.211,silver
585,15.244,silver
586,14.867,silver
587,14.963,silver
588,14.975,silver
589,14.915,silver
590,14.939,silver
591,14.955,silver
592,14.975,silver
593,14.791,silver
594,14.916,silver
595,14.879,silver
596,15.088,silver
597,14.933,silver
598,14.984,silver
599,14.729,silver
600,14.617,silver
601,14.978,silver
602,14.927,silver
603,14.926,silver
604,14.862,silver
605,14.773,silver
606,14.79,silver
607,14.777,silver
608,14.812,silver
609,14.812,silver
610,14.539,silver
611,14.388,silver
612,14.445,silver
613,14.41,silver
614,14.449,silver
615,14.613,silver
616,14.555,silver
617,14.32,silver
618,14.32,silver
619,14.411,silver
620,14.491,silver
621,14.567,silver
622,14.74,silver
623,14.769,silver
624,14.791,silver
625,14.905,silver
626,15.031,silver
627,14.639,silver
628,14.74,silver
629,14.753,silver
630,14.892,silver
631,14.803,silver
632,14.829,silver
633,14.993,silver
634,14.958,silver
635,15.492,silver
636,15.29,silver
637,15.377,silver
638,15.3,silver
639,15.294,silver
640,15.294,silver
641,15.341,silver
642,15.193,silver
643,15.238,silver
644,15.336,silver
645,15.001,silver
646,15.001,silver
647,15.05,silver
648,15.147,silver
649,15.226,silver
650,15.146,silver
651,15.236,silver
652,15.365,silver
653,15.678,silver
654,15.971,silver
655,16.198,silver
656,16.195,silver
657,16.411,silver
658,16.476,silver
659,16.626,silver
660,16.411,silver
661,16.397,silver
662,16.44,silver
663,16.558,silver
664,16.405,silver
665,16.18,silver
666,16.27,silver
667,16.393,silver
668,16.445,silver
669,17.196,silver
670,16.936,silver
671,16.931,silver
672,17.071,silver
673,16.985,silver
674,17.28,silver
675,17.214,silver
676,17.122,silver
677,16.94,silver
678,17.148,silver
679,17.151,silver
680,17.04,silver
681,17.413,silver
682,17.641,silver
683,18.153,silver
684,18.318,silver
685,18.323,silver
686,18.342,silver
687,19.237,silver
688,19.186,silver
689,19.547,silver
690,18.807,silver
691,18.119,silver
692,18.167,silver
693,18.186,silver
694,18.17,silver
695,18.177,silver
696,17.569,silver
697,18.026,silver
698,18.14,silver
699,17.919,silver
700,17.884,silver
701,17.849,silver
702,18.711,silver
703,18.628,silver
704,18.073,silver
705,17.912,silver
706,17.652,silver
707,16.998,silver
708,17.302,silver
709,17.683,silver
710,17.676,silver
711,17.625,silver
712,17.54,silver
713,17.7,silver
714,17.81,silver
715,17.602,silver
716,17.544,silver
717,17.71,silver
718,17.384,silver
719,17.427,silver
720,17.612,silver
721,17.578,silver
722,17.602,silver
723,17.5,silver
724,17.58,silver
725,17.804,silver
726,17.926,silver
727,17.876,silver
728,17.831,silver
729,17.867,silver
730,18.067,silver
731,18.052,silver
732,18.066,silver
733,17.568,silver
734,17.598,silver
735,17.01,silver
736,16.823,silver
737,16.802,silver
738,16.692,silver
739,16.913,silver
740,17.028,silver
741,16.948,silver
742,17.0,silver
743,17.118,silver
744,17.115,silver
745,17.065,silver
746,17.0,silver
747,16.886,silver
748,17.045,silver
749,16.912,silver
750,17.106,silver
751,17.06,silver
752,16.966,silver
753,17.248,silver
754,16.916,silver
755,17.059,silver
756,16.596,silver
757,16.642,silver
758,16.702,silver
759,16.849,silver
760,16.949,silver
761,17.012,silver
762,17.113,silver
763,17.072,silver
764,17.049,silver
765,17.154,silver
766,17.224,silver
767,17.499,silver
768,17.853,silver
769,17.99,silver
770,17.943,silver
771,18.001,silver
772,17.921,silver
773,18.046,silver
774,18.151,silver
775,18.179,silver
776,18.393,silver
777,18.167,silver
778,17.936,silver
779,18.105,silver
780,17.996,silver
781,17.742,silver
782,17.988,silver
783,17.939,silver
784,18.073,silver
785,17.808,silver
786,17.808,silver
787,17.828,silver
788,17.829,silver
789,18.113,silver
790,18.056,silver
791,17.458,silver
792,17.487,silver
793,17.992,silver
794,18.012,silver
795,17.67,silver
796,17.561,silver
797,17.602,silver
798,17.818,silver
799,17.692,silver
800,17.785,silver
801,17.597,silver
802,17.497,silver
803,17.619,silver
804,17.734,silver
805,18.15,silver
806,18.192,silver
807,18.311,silver
808,18.319,silver
809,18.53,silver
810,18.876,silver
811,18.191,silver
812,17.834,silver
813,17.735,silver
814,16.457,silver
815,16.739,silver
816,17.188,silver
817,17.246,silver
818,17.393,silver
819,17.263,silver
820,17.054,silver
821,16.955,silver
822,16.776,silver
823,16.005,silver
824,14.5,silver
825,12.816,silver
826,12.495,silver
827,11.772,silver
828,12.134,silver
829,12.385,silver
830,13.261,silver
831,14.257,silver
832,14.873,silver
833,14.676,silver
834,14.534,silver
835,14.132,silver
836,14.156,silver
837,13.984,silver
838,14.654,silver
839,14.494,silver
840,15.169,silver
841,15.48,silver
842,15.205,silver
843,16.053,silver
844,15.537,silver
845,16.13,silver
846,15.505,silver
847,15.622,silver
848,15.295,silver
849,15.614,silver
850,14.876,silver
851,15.335,silver
852,15.357,silver
853,15.263,silver
854,15.21,silver
855,15.171,silver
856,15.315,silver
857,14.973,silver
858,14.938,silver
859,14.796,silver
860,15.11,silver
861,15.015,silver
862,15.59,silver
863,15.778,silver
864,15.68,silver
865,15.709,silver
866,15.671,silver
867,16.156,silver
868,17.07,silver
869,17.468,silver
870,17.901,silver
871,18.031,silver
872,17.364,silver
873,17.693,silver
874,17.595,silver
875,17.595,silver
876,17.757,silver
877,17.967,silver
878,18.499,silver
879,18.827,silver
880,18.26,silver
881,17.958,silver
882,18.061,silver
883,17.479,silver
884,17.893,silver
885,17.794,silver
886,17.796,silver
887,17.889,silver
888,17.482,silver
889,17.399,silver
890,17.652,silver
891,17.775,silver
892,17.508,silver
893,17.847,silver
894,17.902,silver
895,18.063,silver
896,17.67,silver
897,17.895,silver
898,18.168,silver
899,18.064,silver
900,18.637,silver
901,18.218,silver
902,18.322,silver
903,18.582,silver
904,18.582,silver
905,18.699,silver
906,19.161,silver
907,18.962,silver
908,19.053,silver
909,19.788,silver
910,19.53,silver
911,19.761,silver
912,19.573,silver
913,19.764,silver
914,20.192,silver
915,21.557,silver
916,23.144,silver
917,22.988,silver
918,22.85,silver
919,24.501,silver
920,24.3,silver
921,24.321,silver
922,23.362,silver
923,24.216,silver
924,24.417,silver
925,26.028,silver
926,26.89,silver
927,28.4,silver
928,27.54,silver
929,29.261,silver
930,26.049,silver
931,25.979,silver
932,27.718,silver
933,26.089,silver
934,27.667,silver
935,28.075,silver
936,27.34,silver
937,27.147,silver
938,26.732,silver
939,26.607,silver
940,26.273,silver
941,27.449,silver
942,27.025,silver
943,27.79,silver
944,28.594,silver
945,28.645,silver
946,27.395,silver
947,26.875,silver
948,26.712,silver
949,26.991,silver
950,26.991,silver
951,27.083,silver
952,27.291,silver
953,26.857,silver
954,27.355,silver
955,27.464,silver
956,27.476,silver
957,27.1,silver
958,27.129,silver
959,24.387,silver
960,24.523,silver
961,23.105,silver
962,23.196,silver
963,23.093,silver
964,23.604,silver
965,24.445,silver
966,23.494,silver
967,24.254,silver
968,24.029,silver
969,24.56,silver
970,23.921,silver
971,23.896,silver
972,23.876,silver
973,25.108,silver
974,25.271,silver
975,24.129,silver
976,24.395,silver
977,24.224,silver
978,24.405,silver
979,24.698,silver
980,24.98,silver
981,25.241,silver
982,24.709,silver
983,24.675,silver
984,24.42,silver
985,24.57,silver
986,23.359,silver
987,23.36,silver
988,23.646,silver
989,24.033,silver
990,24.334,silver
991,23.893,silver
992,25.191,silver
993,25.662,silver
994,23.701,silver
995,24.462,silver
996,24.267,silver
997,24.306,silver
998,24.775,silver
999,24.802,silver
1000,24.651,silver
