"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","23.352","23.095","23.390","23.070","30.39K","1.27%"
"12/30/2021","23.060","22.870","23.155","22.630","30.54K","0.88%"
"12/29/2021","22.858","23.050","23.185","22.600","40.03K","-1.14%"
"12/28/2021","23.121","23.105","23.480","23.005","42.75K","0.57%"
"12/27/2021","22.989","22.900","23.150","22.655","39.29K","0.21%"
"12/23/2021","22.940","22.815","22.965","22.680","33.91K","0.53%"
"12/22/2021","22.819","22.525","22.860","22.440","35.70K","1.29%"
"12/21/2021","22.529","22.290","22.805","22.185","45.67K","1.07%"
"12/20/2021","22.291","22.390","22.435","22.190","35.06K","-1.07%"
"12/17/2021","22.533","22.530","22.690","22.355","39.31K","0.21%"
"12/16/2021","22.485","22.070","22.560","21.930","56.37K","4.36%"
"12/15/2021","21.545","21.945","22.130","21.410","65.04K","-1.73%"
"12/14/2021","21.924","22.350","22.355","21.670","52.45K","-1.81%"
"12/13/2021","22.328","22.195","22.430","22.160","31.88K","0.60%"
"12/10/2021","22.195","21.975","22.240","21.815","43.90K","0.83%"
"12/09/2021","22.013","22.435","22.475","21.840","58.89K","-1.87%"
"12/08/2021","22.432","22.525","22.580","22.305","28.91K","-0.40%"
"12/07/2021","22.523","22.395","22.625","22.230","38.83K","1.17%"
"12/06/2021","22.263","22.610","22.635","22.125","41.15K","-0.97%"
"12/03/2021","22.481","22.410","22.590","22.035","54.13K","0.74%"
"12/02/2021","22.316","22.335","22.505","22.215","45.19K","-0.10%"
"12/01/2021","22.339","22.875","23.060","22.185","65.42K","-2.09%"
"11/30/2021","22.815","22.930","23.355","22.705","68.03K","-0.16%"
"11/29/2021","22.852","23.160","23.460","22.775","66.86K","-1.22%"
"11/25/2021","23.135","23.610","23.770","22.935","55.88K","-1.54%"
"11/24/2021","23.496","23.640","23.695","23.400","54.62K","0.26%"
"11/23/2021","23.435","24.210","24.340","23.280","93.87K","-3.55%"
"11/22/2021","24.297","24.670","24.955","24.140","78.54K","-1.95%"
"11/19/2021","24.781","24.850","25.040","24.610","67.98K","-0.48%"
"11/18/2021","24.900","25.150","25.230","24.730","63.62K","-1.06%"
"11/17/2021","25.167","24.860","25.285","24.850","54.35K","0.89%"
"11/16/2021","24.944","25.135","25.490","24.825","77.00K","-0.64%"
"11/15/2021","25.105","25.425","25.465","24.970","68.48K","-0.95%"
"11/12/2021","25.346","25.350","25.470","24.925","66.39K","0.18%"
"11/11/2021","25.301","24.710","25.365","24.645","82.02K","2.14%"
"11/10/2021","24.772","24.375","25.220","24.040","131.56K","1.87%"
"11/09/2021","24.318","24.550","24.565","24.090","65.11K","-0.91%"
"11/08/2021","24.542","24.285","24.590","24.130","67.62K","1.59%"
"11/05/2021","24.157","23.870","24.255","23.665","73.24K","1.03%"
"11/04/2021","23.911","23.530","24.115","23.485","68.46K","2.93%"
"11/03/2021","23.231","23.570","23.665","23.045","67.16K","-1.17%"
"11/02/2021","23.507","24.130","24.140","23.430","63.00K","-2.35%"
"11/01/2021","24.073","23.985","24.175","23.810","37.06K","0.52%"
"10/29/2021","23.949","24.135","24.140","23.705","57.80K","-0.71%"
"10/28/2021","24.120","24.130","24.310","24.020","45.96K","-0.29%"
"10/27/2021","24.191","24.220","24.330","23.905","48.09K","0.43%"
"10/26/2021","24.088","24.650","24.655","23.925","61.76K","-2.05%"
"10/25/2021","24.592","24.395","24.695","24.365","44.83K","0.58%"
"10/22/2021","24.449","24.220","24.920","24.185","83.28K","1.15%"
"10/21/2021","24.170","24.370","24.550","24.070","58.68K","-1.12%"
"10/20/2021","24.445","23.710","24.495","23.615","73.13K","2.35%"
